"NCI_U133A_2L"	"NCI_U133A_8L"	"NCI_U133A_9L"
"867"	5.81	5.21	5.21
"868"	8.54	6.65	6.81
"869"	8.53	7.83	7.94
"870"	9.28	8.94	8.99
"871"	7.22	6.68	8.09
"872"	7.24	6.67	6.84
"873"	7.96	6.63	7.02
"874"	10.06	10.29	9.84
"875"	9.01	9.62	9.56
"876"	8.3	8.26	8.26
"877"	6.7	6.43	6.71
"878"	5.99	6.66	9.05
"879"	5.94	5.47	5.59
"880"	6.77	6.46	7.06
"881"	4.28	4.35	4.2
"882"	7.61	7.56	7.54
"883"	7.4	7.02	7.21
"884"	7.39	8.53	8.53
"885"	5.29	5.18	5.17
"886"	7.45	7.73	8.08
"887"	8.54	8.07	8.61
"888"	8.27	7.42	8.31
"889"	8.01	7.36	7.74
"890"	9.31	8.72	8.49
"891"	6.84	8.43	8.08
"892"	4.06	4.1	4.08
"893"	7.23	7.69	7.44
"894"	8.93	7.85	8.53
"895"	4.97	5.53	5.52
"896"	7.07	6.03	5.95
"897"	7.17	7.85	7.9
"898"	7.31	8.41	8.47
"899"	6.57	5.71	5.59
"900"	7.52	9.65	8.63
"901"	6.66	5.75	5.86
"902"	8.44	8.71	8.35
"903"	4.62	5.03	5.38
"904"	10.06	9.3	9.01
"905"	9.08	8.26	8.95
"906"	8.59	7.83	8.5
"907"	7.79	7.67	8.68
"908"	9.9	9.75	10.2
"909"	4.8	4.67	5.05
"910"	5.97	6.44	7.53
"911"	8.87	9.76	10.54
"912"	7.29	7.64	7.3
"913"	5.92	6.18	5.91
"914"	6.54	7.19	6.79
"915"	4.3	4.23	4.31
"916"	9.61	9.57	8.87
"917"	6.6	7.28	7.99
"918"	7.63	7.72	8.47
"919"	7.36	6.97	7.11
"920"	7.18	7.12	7.13
"921"	4.08	3.82	4.04
"922"	6.28	6.74	6.51
"923"	8.33	8.47	8.16
"924"	8.02	7.61	7.39
"925"	9.88	9.21	9.29
"926"	7.59	7.42	8.04
"927"	4.58	4.69	4.79
"928"	7.11	7.28	7.13
"929"	10.79	11.12	10.33
"930"	7.7	7.37	7.12
"931"	7.75	6.34	7.49
"932"	8.4	8.89	8.29
"933"	7.77	8.35	7.47
"934"	6.2	6.73	6.28
"935"	9.05	9.15	8.75
"936"	5.86	6.51	5.85
"937"	6.24	6.66	6.8
"938"	9.23	9.1	10
"939"	7.86	7.8	7.79
"940"	7.43	7.09	7.52
"941"	7.99	9.25	8.86
"942"	7.19	7.22	7.07
"943"	7.13	6.67	6.66
"944"	5.3	5.09	5.63
"945"	4.89	4.68	4.17
"946"	5.87	5.23	5.47
"947"	5.86	5.92	6.04
